position,gap_to_leader,tire_age,tire_compound,pit_stops,laps_remaining,safety_car,vsc,radio_sentiment,radio_pit_keyword,position_change_3lap,gap_delta_3lap,won,year,driver_number,lap_number
16,7.16800000000012,6,0,0,46.0,0,0,0.0,0,3,-21.80399999999986,0,2018,2,7.0
17,13.769999999999982,7,0,0,45.0,0,0,0.0,0,-1,-5.540000000000191,0,2018,2,8.0
18,19.820000000000164,8,0,0,44.0,0,0,0.0,0,-2,-0.7809999999997217,0,2018,2,9.0
19,24.963000000000196,9,0,0,43.0,0,0,0.0,0,-3,17.795000000000073,0,2018,2,10.0
19,28.93100000000004,10,0,0,42.0,0,0,0.0,0,-2,15.161000000000058,0,2018,2,11.0
19,32.539000000000215,11,0,0,41.0,0,0,0.0,0,-1,12.719000000000053,0,2018,2,12.0
19,35.69100000000026,12,0,0,40.0,0,0,0.0,0,0,10.728000000000064,0,2018,2,13.0
19,39.19499999999971,13,0,0,39.0,0,0,0.0,0,0,10.263999999999667,0,2018,2,14.0
18,42.17999999999984,14,0,0,38.0,0,0,0.0,0,1,9.640999999999622,0,2018,2,15.0
18,45.17000000000007,15,0,0,37.0,0,0,0.0,0,1,9.478999999999814,0,2018,2,16.0
18,48.172999999999774,16,0,0,36.0,0,0,0.0,0,1,8.978000000000065,0,2018,2,17.0
18,50.92599999999993,17,0,0,35.0,0,0,0.0,0,0,8.746000000000095,0,2018,2,18.0
18,53.61400000000003,18,0,0,34.0,0,0,0.0,0,0,8.44399999999996,0,2018,2,19.0
18,57.04100000000017,19,0,0,33.0,0,0,0.0,0,0,8.868000000000393,0,2018,2,20.0
18,60.27699999999959,20,0,0,32.0,0,0,0.0,0,0,9.350999999999658,0,2018,2,21.0
18,63.4079999999999,21,0,0,31.0,0,0,0.0,0,0,9.793999999999867,0,2018,2,22.0
